"","x","y","ID","SA"
"1",1673.94872436523,-1790.47415771484,"",""
"2",840.22297668457,-2204.12325439453,"",""
"3",1655.6602355957,-1789.36787109375,"",""
"4",1668.41127319336,-1754.68969726562,"",""
"5",1646.14266357422,-1922.50181884766,"",""
"6",1646.42561645508,-1814.96665039062,"",""
"7",1657.24143066406,-1772.20870361328,"",""
"8",1650.42036743164,-1841.20043945312,"",""
"9",1667.76536865234,-2074.38764648437,"",""
"10",1670.25072631836,-2268.49581298828,"",""
"11",1668.78439331055,-1933.61656494141,"",""
"12",1661.56510009766,-1944.50885009766,"",""
"13",1669.6254699707,-1957.51783447266,"",""
"14",1657.06514282227,-1965.38884277344,"",""
"15",1672.33059082031,-1982.01032714844,"",""
"16",1661.59446411133,-1987.98958740234,"",""
"17",1656.48803100586,-1996.01353759766,"",""
"18",1652.61685791016,-2010.38820800781,"",""
"19",1669.27828979492,-2016.81529541016,"",""
"20",848.605261230469,-2145.24830322266,"",""
"21",833.235015869141,-2063.195703125,"",""
"22",1648.99802856445,-2086.40095214844,"",""
"23",1661.47918701172,-2093.61951904297,"",""
"24",1664.25538330078,-2104.89633789063,"",""
"25",1667.34815063477,-2122.98560791016,"",""
"26",1645.27388305664,-2052.93739013672,"",""
"27",1647.718359375,-2367.73414306641,"",""
"28",1666.98364257812,-2177.02701416016,"",""
"29",1650.7069519043,-2178.86522216797,"",""
"30",1636.12009277344,-2204.13363037109,"",""
"31",1657.65989379883,-2212.67098388672,"",""
"32",1650.76827392578,-2196.70754394531,"",""
"33",1641.17008056641,-2219.79180908203,"",""
"34",1668.90797119141,-2224.44169921875,"",""
"35",1656.05711669922,-2246.96317138672,"",""
"36",847.925946044922,-2123.66087646484,"",""
"37",1634.76623535156,-2284.44700927734,"",""
"38",1657.32506103516,-2279.33891601562,"",""
"39",1648.52426147461,-2294.82298583984,"",""
"40",1664.83851318359,-2304.22880859375,"",""
"41",1645.79786987305,-2320.95903320312,"",""
"42",1665.40545654297,-2324.27436523437,"",""
"43",1661.09818115234,-2337.81065673828,"",""
"44",1676.10184326172,-2338.88913574219,"",""
"45",1643.84614868164,-2336.82099609375,"",""
"46",1657.51390380859,-2355.03519287109,"",""
"47",1660.176171875,-2401.56688232422,"",""
"48",1642.61420898437,-2432.38125,"",""
"49",1659.07932739258,-2425.05705566406,"",""
"50",1639.53067626953,-2407.34879150391,"",""
"51",1666.83588867187,-2383.02003173828,"",""
"52",1646.84241943359,-2419.82465820312,"",""
"53",1648.15041503906,-2388.22794189453,"",""
"54",1672.67372436523,-2412.45792236328,"",""
"55",1649.0660949707,-1869.82485351562,"",""
"56",834.773721313477,-2312.96704101562,"",""
"57",846.858880615234,-2048.73366699219,"",""
"58",845.828131103516,-2297.3806640625,"",""
"59",824.944091796875,-2295.05499267578,"",""
"60",831.489828491211,-2364.89216308594,"",""
"61",823.561492919922,-2382.05610351562,"",""
"62",827.813931274414,-2407.69099121094,"",""
"63",829.930786132812,-2449.54477539063,"",""
"64",827.45341796875,-1881.71551513672,"",""
"65",830.727142333984,-1860.68382568359,"",""
"66",830.622604370117,-1796.15583496094,"",""
"67",848.138394165039,-1888.80562744141,"",""
"68",833.477917480469,-1809.26442871094,"",""
"69",842.615676879883,-1791.19508056641,"",""
"70",821.544610595703,-1763.47545166016,"",""
"71",843.951895141602,-1779.8103515625,"",""
"72",835.482400512695,-1763.49807128906,"",""
"73",845.607070922852,-1838.3873046875,"",""
"74",828.866677856445,-1839.62308349609,"",""
"75",831.003765869141,-1897.98068847656,"",""
"76",828.097662353516,-1872.38336181641,"",""
"77",833.95458984375,-1948.43345947266,"",""
"78",826.812805175781,-1931.22469482422,"",""
"79",841.909176635742,-1913.54050292969,"",""
"80",825.656661987305,-1965.09291992187,"",""
"81",822.912942504883,-2024.74793701172,"",""
"82",843.977938842773,-2007.01746826172,"",""
"83",824.491543579102,-2199.90230712891,"",""
"84",827.735073852539,-2038.79866943359,"",""
"85",850.112319946289,-2380.52689208984,"",""
"86",844.644750976562,-2344.05139160156,"",""
"87",844.896731567383,-2366.49940185547,"",""
"88",844.719146728516,-2438.32938232422,"",""
"89",827.527191162109,-2358.52318115234,"",""
"90",839.333340454102,-2232.88898925781,"",""
"91",843.637399291992,-2159.54411621094,"",""
"92",1678.54673461914,-2426.41070556641,"",""
"93",1665.20686035156,-2509.96325683594,"",""
"94",1639.94146118164,-2472.45762939453,"",""
"95",1660.82736816406,-2530.43796386719,"",""
"96",967.839758300781,-2553.95905761719,"",""
"97",1644.14757080078,-2508.97982177734,"",""
"98",1638.94360351562,-2490.82954101562,"",""
"99",1673.15392456055,-2546.30635986328,"",""
"100",1657.41076660156,-2547.15656738281,"",""
"101",1528.98128662109,-2523.11522216797,"",""
"102",1230.91444702148,-2554.41892089844,"",""
"103",1564.36035766602,-2560.698046875,"",""
"104",1667.91924438477,-2520.17550048828,"",""
"105",1607.78703613281,-2525.09122314453,"",""
"106",1530.71511230469,-2538.46979980469,"",""
"107",1551.94135131836,-2532.89395751953,"",""
"108",1286.07884521484,-2542.76856689453,"",""
"109",1331.13994750977,-2544.6974609375,"",""
"110",1242.88012695312,-2524.80111083984,"",""
"111",1253.76213989258,-2550.79168701172,"",""
"112",1361.31536254883,-2552.51845703125,"",""
"113",1493.42572021484,-2529.03637695312,"",""
"114",1575.02665405273,-2533.19818115234,"",""
"115",1543.08358764648,-2539.64581298828,"",""
"116",1319.63330078125,-2552.40473632812,"",""
"117",888.782080078125,-2529.87932128906,"",""
"118",1306.40693969727,-2532.36665039062,"",""
"119",1661.40541381836,-2497.17009277344,"",""
"120",1485.32270507812,-2548.63887939453,"",""
"121",1669.22194824219,-2483.68111572266,"",""
"122",1625.73342895508,-2545.42357177734,"",""
"123",1610.68473510742,-2548.76857910156,"",""
"124",1247.96674194336,-2539.20773925781,"",""
"125",1642.28383789062,-2547.23251953125,"",""
"126",1338.53262329102,-2534.108984375,"",""
"127",1624.54278564453,-2530.18748779297,"",""
"128",1662.8689453125,-2459.02239990234,"",""
"129",841.289056396484,-2543.4291015625,"",""
"130",1560.94448242187,-2546.63092041016,"",""
"131",1579.84411621094,-2552.11213378906,"",""
"132",1365.71986083984,-2537.96531982422,"",""
"133",1392.2963684082,-2539.94775390625,"",""
"134",1400.52265014648,-2530.50665283203,"",""
"135",1413.15809936523,-2524.43068847656,"",""
"136",1416.32380981445,-2552.19846191406,"",""
"137",1425.42125854492,-2542.20950927734,"",""
"138",1433.75513916016,-2532.05661621094,"",""
"139",1514.01404418945,-2543.0107421875,"",""
"140",1263.40598754883,-2535.82185058594,"",""
"141",1592.97501831055,-2540.56304931641,"",""
"142",1093.53091430664,-2530.50582275391,"",""
"143",1078.58805541992,-2555.75347900391,"",""
"144",1105.58831787109,-2538.40754394531,"",""
"145",1107.29724121094,-2560.56378173828,"",""
"146",1466.65217285156,-2535.64006347656,"",""
"147",1126.48304443359,-2551.70809326172,"",""
"148",1135.52311401367,-2534.70622558594,"",""
"149",1156.53996582031,-2533.9828125,"",""
"150",1160.11324462891,-2549.50402832031,"",""
"151",1178.93651123047,-2555.63021240234,"",""
"152",1192.57127075195,-2560.68601074219,"",""
"153",1201.15241088867,-2530.33316650391,"",""
"154",1179.78536987305,-2530.82436523437,"",""
"155",1231.01083984375,-2537.49715576172,"",""
"156",1218.92178955078,-2539.51403808594,"",""
"157",1237.94396362305,-2547.56309814453,"",""
"158",1220.93338012695,-2558.21798095703,"",""
"159",1204.50385131836,-2552.01812744141,"",""
"160",851.080554199219,-2531.94849853516,"",""
"161",870.199224853516,-2552.86854248047,"",""
"162",883.774322509766,-2556.48664550781,"",""
"163",1619.56864624023,-2558.88432617187,"",""
"164",1003.94909057617,-2539.17661132813,"",""
"165",1013.32005004883,-2528.62569580078,"",""
"166",1037.49379272461,-2544.26270751953,"",""
"167",1032.5474609375,-2555.88608398438,"",""
"168",1032.80727539062,-2532.60612792969,"",""
"169",1038.00325317383,-2540.41695556641,"",""
"170",950.090301513672,-2550.05021972656,"",""
"171",1045.27411499023,-2551.92930908203,"",""
"172",1061.88968505859,-2523.17104492187,"",""
"173",1048.60428466797,-2529.06169433594,"",""
"174",1072.72905273438,-2522.35404052734,"",""
"175",1060.61665649414,-2541.28480224609,"",""
"176",824.322467041016,-2539.91164550781,"",""
"177",899.783209228516,-2536.57618408203,"",""
"178",847.201858520508,-2463.1970703125,"",""
"179",820.345977783203,-2476.70783691406,"",""
"180",1111.80819702148,-2546.25614013672,"",""
"181",873.636267089844,-2520.23858642578,"",""
"182",952.563934326172,-2538.29382324219,"",""
"183",829.943081665039,-2499.65845947266,"",""
"184",916.714001464844,-2540.17727050781,"",""
"185",842.352075195313,-2486.67790527344,"",""
"186",868.242367553711,-2537.68786621094,"",""
"187",1672.17463989258,-2557.59189453125,"",""
"188",1367.51002807617,-1714.82561035156,"",""
"189",1058.97496948242,-1698.4494140625,"",""
"190",1501.91212768555,-1710.1731262207,"",""
"191",1397.70173339844,-1700.33939819336,"",""
"192",1049.96976318359,-1691.31271362305,"",""
"193",1061.70603027344,-1685.02756958008,"",""
"194",1303.41637573242,-1701.9520324707,"",""
"195",1005.50745849609,-1683.34209594727,"",""
"196",1590.74667358398,-1691.75172119141,"",""
"197",1415.94508666992,-1690.81788330078,"",""
"198",1558.65969238281,-1706.68088378906,"",""
"199",1606.52510986328,-1710.32108764648,"",""
"200",1660.59722900391,-1709.16281738281,"",""
"201",1046.53427734375,-1711.60563354492,"",""
"202",1520.79329223633,-1697.71334228516,"",""
"203",1502.27113647461,-1685.65189208984,"",""
"204",1425.42447509766,-1695.57599487305,"",""
"205",1345.14357299805,-1704.82171630859,"",""
"206",1310.73579711914,-1699.00629272461,"",""
"207",1096.60894775391,-1714.7219543457,"",""
"208",994.631256103516,-1702.37091064453,"",""
"209",983.553967285156,-1684.00014038086,"",""
"210",1056.68634033203,-1690.93399047852,"",""
"211",1488.85115966797,-1681.10285644531,"",""
"212",1442.06557006836,-1711.16143798828,"",""
"213",1558.16475830078,-1688.212890625,"",""
"214",959.513763427734,-1696.85659790039,"",""
"215",1591.65083618164,-1703.54567871094,"",""
"216",1638.78287963867,-1687.73601074219,"",""
"217",1563.90173950195,-1696.8423828125,"",""
"218",975.149114990234,-1695.60950927734,"",""
"219",1147.34010620117,-1720.33234863281,"",""
"220",832.658630371094,-1740.33681640625,"",""
"221",1653.80003051758,-1701.00200805664,"",""
"222",1324.45377197266,-1707.21369018555,"",""
"223",1605.6131652832,-1693.16990966797,"",""
"224",1319.79526977539,-1686.30443725586,"",""
"225",1621.37489624023,-1700.31916503906,"",""
"226",1581.84740600586,-1709.41900024414,"",""
"227",1359.36333007813,-1690.60444946289,"",""
"228",1527.23864135742,-1714.26997680664,"",""
"229",1637.53423461914,-1704.5153137207,"",""
"230",1487.99586791992,-1696.92279663086,"",""
"231",1437.59767456055,-1694.85891113281,"",""
"232",1664.65485839844,-1723.98334350586,"",""
"233",1628.7889465332,-1717.27683105469,"",""
"234",1087.75647583008,-1705.13081665039,"",""
"235",1017.49503173828,-1709.45676879883,"",""
"236",1024.27915649414,-1690.16087646484,"",""
"237",1106.88718261719,-1689.16177368164,"",""
"238",1075.98856201172,-1708.44604492188,"",""
"239",1089.64946899414,-1694.95468139648,"",""
"240",1065.89979248047,-1690.80595092773,"",""
"241",861.300527954102,-1690.74794921875,"",""
"242",1127.02197265625,-1708.25989990234,"",""
"243",916.510943603516,-1694.48931884766,"",""
"244",1149.92154541016,-1698.09216918945,"",""
"245",1115.73872070312,-1718.06187744141,"",""
"246",1111.10397949219,-1700.95002441406,"",""
"247",1536.39212036133,-1692.7520690918,"",""
"248",1168.47420654297,-1707.81850585937,"",""
"249",1210.88652954102,-1723.25993041992,"",""
"250",1187.63977661133,-1710.68860473633,"",""
"251",1211.89611206055,-1707.61088256836,"",""
"252",1216.35539550781,-1690.82442016602,"",""
"253",1230.18667602539,-1698.94341430664,"",""
"254",1248.89144897461,-1696.10319824219,"",""
"255",1259.34846191406,-1705.31447143555,"",""
"256",1275.89555053711,-1709.03633422852,"",""
"257",1294.73873901367,-1693.62105712891,"",""
"258",1275.76927490234,-1694.7041015625,"",""
"259",1286.96702880859,-1695.28494873047,"",""
"260",842.94967956543,-1714.47843017578,"",""
"261",878.815020751953,-1701.37741088867,"",""
"262",853.621112060547,-1725.17087402344,"",""
"263",850.165393066406,-1703.21126098633,"",""
"264",831.536260986328,-1719.57282714844,"",""
"265",890.985003662109,-1704.56522216797,"",""
"266",855.863464355469,-1736.97064208984,"",""
"267",865.81003112793,-1709.16084594727,"",""
"268",1025.81573486328,-1701.54830322266,"",""
"269",952.582818603516,-1708.43089599609,"",""
"270",1977.44261474609,-3398.253515625,"",""
"271",1985.82495117188,-3399.71922607422,"",""
"272",1981.76856689453,-3375.81608886719,"",""
"273",1992.82001953125,-3383.40943603516,"",""
"274",1993.93087158203,-3399.687890625,"",""
"275",1989.74312744141,-3390.94052734375,"",""
"276",2003.98332519531,-3373.60621337891,"",""
"277",2004.21180419922,-3399.96015625,"",""
"278",2012.98967285156,-3389.00997314453,"",""
"279",2031.16589355469,-3403.71231689453,"",""
"280",2031.31987304688,-3383.70888671875,"",""
"281",2051.3521484375,-3368.94075927734,"",""
"282",2047.94343261719,-3399.85701904297,"",""
"283",2057.27786865234,-3389.80477294922,"",""
"284",2070.14221191406,-3394.4484375,"",""
"285",2093.60810546875,-3378.72841796875,"",""
"286",2130.32432861328,-3377.90788574219,"",""
"287",2137.76784667969,-3398.38674316406,"",""
"288",2156.61456298828,-3397.77642822266,"",""
"289",2158.81177978516,-3372.72736816406,"",""
"290",2173.64403076172,-3381.48780517578,"",""
"291",2181.06202392578,-3395.66387939453,"",""
"292",2191.77542724609,-3383.66219482422,"",""
"293",2196.12960205078,-3405.74248046875,"",""
"294",2201.43234863281,-3393.24108886719,"",""
"295",2204.05415039062,-3372.77924804687,"",""
"296",2218.46015625,-3385.15384521484,"",""
"297",2228.00709228516,-3399.29235839844,"",""
"298",2229.17978515625,-3377.86430664062,"",""
"299",2241.06982421875,-3377.19713134766,"",""
"300",2238.42789306641,-3397.62493896484,"",""
"301",2246.42507324219,-3385.22772216797,"",""
"302",2252.42010498047,-3402.85920410156,"",""
"303",2261.50427246094,-3372.72093505859,"",""
"304",2262.27686767578,-3402.12354736328,"",""
"305",2261.471484375,-3385.18974609375,"",""
"306",2268.95131835937,-3376.02983398437,"",""
"307",2272.30421142578,-3397.05114746094,"",""
"308",2275.86317138672,-3380.87520751953,"",""
"309",2285.07060546875,-3388.94418945313,"",""
"310",2284.18927001953,-3402.21817626953,"",""
"311",2293.02420654297,-3395.30819091797,"",""
"312",2293.07235107422,-3373.45928955078,"",""
"313",2313.54353027344,-3383.97907714844,"",""
"314",2339.44508056641,-3385.22772216797,"",""
"315",2350.48968505859,-3373.032421875,"",""
"316",2357.71136474609,-3384.94508056641,"",""
"317",2356.57602539063,-3400.55822753906,"",""
"318",2368.77817382813,-3394.70576171875,"",""
"319",2373.29732666016,-3370.48387451172,"",""
"320",2385.60095214844,-3373.16295166016,"",""
"321",2388.53341064453,-3385.76436767578,"",""
"322",2415.35946044922,-3398.94849853516,"",""
"323",2432.17165527344,-3389.14320068359,"",""
"324",2440.94205322266,-3398.373046875,"",""
"325",2489.05524902344,-3550.06567382812,"",""
"326",2474.17298583984,-3375.24125976562,"",""
"327",2484.61391601562,-3387.75053710937,"",""
"328",2498.77110595703,-3388.2693359375,"",""
"329",2490.64692382812,-3405.40028076172,"",""
"330",2497.5689453125,-3430.96917724609,"",""
"331",2480.31680908203,-3432.65838623047,"",""
