"","x","y","ID","SA"
"149164679103246548309819743981609972453",638.564039917663,4594.21644444019,"",""
"215843146921706462965382248182021894607",593.803438756615,4516.24044241756,"",""
"230248905804673613678286091156141465134",597.313438847661,4566.67644372582,"",""
"237155298815097057940587033798543926454",613.24343926087,4609.49844483659,"",""
"256099454901769634241742157204636917386",609.193439155817,4603.1804446727,"",""
"52442222147121971758529793775250916001",623.88143953681,4642.70844569802,"",""
"83388694048518172351104993698595059625",597.907438863069,4547.77644323558,"",""
"117749472799775376881672023779789020086",552.145681738853,4320.90167302638,"",""
"15016935204501029374284305801070750441",607.765683181584,4388.45567477867,"",""
"167702564287808924695032218174386816671",624.937683627009,4407.73367527872,"",""
"201133272733426939541627032809428042123",567.805682145059,4385.59367470443,"",""
"202183203217696289328897194903125213592",610.573683254421,4349.35967376456,"",""
"216190081989927233643502409792404883060",622.129683554173,4312.58567281067,"",""
"22376662455194716206168026460019147675",589.94568271935,4395.15167495236,"",""
"225982843805267388744806383949594229377",587.191682647914,4475.17967702821,"",""
"230035180844754220485355971411149331885",586.705682635307,4403.52167516947,"",""
"238581392575800808970896654995154797463",584.221682570875,4320.46967301518,"",""
"244440747390130745248582783491219025588",560.839681964368,4342.44767358527,"",""
"24552984320607843455324187232934176481",588.217682674527,4489.5976774022,"",""
"247838633678185912493831485021104312918",631.795683804899,4381.75967460498,"",""
"304624479233145426861879594023311446658",623.965683601797,4422.58367566392,"",""
"42164544706426379654944151419487666760",628.01568370685,4416.48167550564,"",""
"70116952151570353766028596660890894057",586.813682638109,4344.7156736441,"",""
"78306995405092212295145741845852197732",612.193683296442,4438.08167606592,"",""
"8311844259269958400375062415970996570",574.933682329953,4408.81367530674,"",""
"116600286336993021729605713056472656442",559.340641289949,4094.58454540372,"",""
"124280151981794662688034576682286401070",527.102640453726,4101.65854558721,"",""
"14616418915183649381686596425175055892",536.228640690446,4271.27254998684,"",""
"149212232891849723259584942637039031686",523.862640369684,4216.19254855812,"",""
"154895659434230906934333534981265854681",520.56864028424,4169.2665473409,"",""
"169197248448054212483944735589092239655",632.024643175304,4127.90254626796,"",""
"194176477102896987314103183172948297246",539.846640784293,4187.68054781854,"",""
"20019185678881805136153932717484987222",550.754641067237,4228.50454887748,"",""
"204792173748165091968215002178850845662",570.896641589701,4223.05054873601,"",""
"214839043447186511648638354338535783896",521.864640317857,4179.20254759863,"",""
"230314585684471951700953250286322785209",593.252642169595,4211.60254843906,"",""
"243364984422535918763412911674557049625",568.52064152807,4249.67254942656,"",""
"248201408122450121898954163056989925282",557.180641233921,4209.06454837322,"",""
"277192184186406347041672420956580309879",530.882640551776,4238.1165491268,"",""
"327845815751564631173623636244756614744",530.288640536368,4228.28854887187,"",""
"330254228193535784111977443612506892575",535.634640675038,4257.34054962546,"",""
"335908065964095391950042585331018037341",584.50464194268,4108.5705457665,"",""
"50973575363869226926646317838167986471",533.582640621811,4246.16254933551,"",""
"65728894494773744591241424133832407779",559.39464129135,4232.23054897413,"",""
"120620674353790023768452421572056822174",626.236921198666,4008.83481791988,"",""
"139535740909130678958141539895449962402",536.542918872088,3954.61881651357,"",""
"18946251049084667891013205277349226138",628.07292124629,3957.75081659481,"",""
"190026071045018201774247102399527375266",519.316918425262,4036.69881864265,"",""
"192526902995517234661402268395850069892",650.369521824643,3883.87881467864,"",""
"24232566691742081306943076066506836039",510.892918206751,4008.07881790027,"",""
"269185487904552383523422918968538352385",614.950920905918,4024.87281833589,"",""
"274011842190820285020297349052661807395",648.479521775618,3945.43881627545,"",""
"282664810578166477495105422996999167830",527.416918635368,4062.29481930658,"",""
"299320016094607228783133202457994964245",492.370917726308,3953.37681648135,"",""
"303156164584578707347839498704348933353",605.446920659393,4033.78281856701,"",""
"310122046710385436575818606097934391862",555.658919367939,3996.63081760332,"",""
